video,config,frame_index,selector,decision,force_reason,visual_transmitted,reason,psss_backend_kind,latent_elements,analog_channel_symbols,source_packet_bits,estimated_digital_channel_symbols,estimated_wire_bytes,digital_symbols_status,wire_bytes_status
01_person_walk,fixed_int4__combined_ds4,10,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,11,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,12,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,13,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,14,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,15,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,16,fixed,keyframe,selected,True,,,32768,,278984,unavailable,34873.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,17,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,18,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,19,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,2,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,20,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,21,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,22,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,23,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,24,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,25,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,26,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,27,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,28,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,29,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,3,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,30,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,31,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,32,fixed,keyframe,selected,True,,,32768,,278984,unavailable,34873.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,33,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,34,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,35,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,36,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,37,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,38,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
